information retrieval,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
new york,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
language model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
previous work,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
retrieval performance,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
information need,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
retrieval model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
test collection,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
experimental result,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
named entity,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
search task,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
computer science,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
query processing,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
statistically significant,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
information storage,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
search process,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
information system,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
model parameter,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
model based,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
information seeking,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
probabilistic model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
IR evaluation,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
specific model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
IR system,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
recent year,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
result using,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
retrieval result,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
existing method,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
special case,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
retrieval quality,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
two major,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
vast majority,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
far away,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
experimental study,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
ad-hoc retrieval,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
probability ranking principle,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
new type,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
completion time,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
vector space model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
build upon,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
method used,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
theoretic model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
existing model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
collection used,SIGIR 2012: Salton award lecture: information retrieval as engineering science,0
parameter space,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
engineering science,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1
information retrieval,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
search engine,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
search result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
data set,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
relevant document,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,0
research question,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,0
user behavior,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
test collection,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
experimental result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,0
search session,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
evaluation measure,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,1
least one,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,0
