dark matter,1106.0781v3,1
dark energy,1106.0781v3,1
high redshift,1106.0781v3,1
black hole,1106.0781v3,1
cosmological parameter,1106.0781v3,1
solid line,1106.0781v3,0
energy density,1106.0781v3,1
dashed line,1106.0781v3,0
cosmological constant,1106.0781v3,1
see fig,1106.0781v3,0
error bar,1106.0781v3,0
observational data,1106.0781v3,1
parameter space,1106.0781v3,1
scale factor,1106.0781v3,1
ΛCDM model,1106.0781v3,1
hubble parameter,1106.0781v3,1
large scale,1106.0781v3,0
new model,1106.0781v3,0
two different,1106.0781v3,0
astrophysical journal,1106.0781v3,0
lower bound,1106.0781v3,1
late time,1106.0781v3,0
see table,1106.0781v3,0
early time,1106.0781v3,0
give rise,1106.0781v3,0
power law,1106.0781v3,1
large number,1106.0781v3,0
much larger,1106.0781v3,0
confidence level,1106.0781v3,1
data set,1106.0781v3,1
different redshift,1106.0781v3,0
dark radiation,1106.0781v3,1
two component,1106.0781v3,0
cosmological constraint,1106.0781v3,1
one obtains,1106.0781v3,0
quantum gravity,1106.0781v3,1
best-fit value,1106.0781v3,1
hubble constant,1106.0781v3,1
friedmann equation,1106.0781v3,1
present time,1106.0781v3,0
probability distribution,1106.0781v3,1
expansion rate,1106.0781v3,1
cold dark matter,1106.0781v3,1
dark energy equation,1106.0781v3,1
two parameter,1106.0781v3,0
differential equation,1106.0781v3,1
total energy,1106.0781v3,0
second order,1106.0781v3,0
present paper,1106.0781v3,0
deceleration parameter,1106.0781v3,1
accelerated expansion,1106.0781v3,0
supernova data,1106.0781v3,1
observed value,1106.0781v3,0
theoretical prediction,1106.0781v3,0
interaction term,1106.0781v3,0
well known,1106.0781v3,0
expectation value,1106.0781v3,1
theoretical physic,1106.0781v3,0
large scale structure,1106.0781v3,1
cambridge university press,1106.0781v3,0
hubble expansion,1106.0781v3,1
coincidence problem,1106.0781v3,1
dark component,1106.0781v3,0
dark energy model,1106.0781v3,1
luminosity distance,1106.0781v3,1
s-1 mpc-1,1106.0781v3,0
