engineering science university,SIGIR 2012: Salton award lecture: information retrieval as engineering science
experimentation keywords,SIGIR 2012: Salton award lecture: information retrieval as engineering science
extended abstract first,SIGIR 2012: Salton award lecture: information retrieval as engineering science
gerard salton award,SIGIR 2012: Salton award lecture: information retrieval as engineering science
norbert fuhr faculty,SIGIR 2012: Salton award lecture: information retrieval as engineering science
subject descriptor,SIGIR 2012: Salton award lecture: information retrieval as engineering science
term theory,SIGIR 2012: Salton award lecture: information retrieval as engineering science
abstract real,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
averaged cg,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
cumulated gain,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
desktop pc,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
heikki keskustalo,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
information science,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
query modification,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
search engine we,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
smart phone,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
smart phone qm strategy s1 s2 s3 s4 s5 initial,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
subject descriptor,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
time frame,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments
abstract aggregating,SIGIR 2012: Evaluating aggregated search pages
aggregated search,SIGIR 2012: Evaluating aggregated search pages
aggregated search page,SIGIR 2012: Evaluating aggregated search pages
all page pair,SIGIR 2012: Evaluating aggregated search pages
amazon mechanical turk,SIGIR 2012: Evaluating aggregated search pages
asrbp metric agreement,SIGIR 2012: Evaluating aggregated search pages
assessment of,SIGIR 2012: Evaluating aggregated search pages
baseline metric,SIGIR 2012: Evaluating aggregated search pages
document type image,SIGIR 2012: Evaluating aggregated search pages
examination model exam,SIGIR 2012: Evaluating aggregated search pages
experimentation keywords,SIGIR 2012: Evaluating aggregated search pages
glasgow glasgow,SIGIR 2012: Evaluating aggregated search pages
ireland galway,SIGIR 2012: Evaluating aggregated search pages
item selection,SIGIR 2012: Evaluating aggregated search pages
jose university,SIGIR 2012: Evaluating aggregated search pages
lemur toolkit,SIGIR 2012: Evaluating aggregated search pages
metric agreement,SIGIR 2012: Evaluating aggregated search pages
metric previous,SIGIR 2012: Evaluating aggregated search pages
millionquery track,SIGIR 2012: Evaluating aggregated search pages
mounia lalmas yahoo,SIGIR 2012: Evaluating aggregated search pages
parameter utility,SIGIR 2012: Evaluating aggregated search pages
perfect is,SIGIR 2012: Evaluating aggregated search pages
perfect rp,SIGIR 2012: Evaluating aggregated search pages
perfect v,SIGIR 2012: Evaluating aggregated search pages
retrieval general term measurement,SIGIR 2012: Evaluating aggregated search pages
ronan cummins national university,SIGIR 2012: Evaluating aggregated search pages
rq1 do,SIGIR 2012: Evaluating aggregated search pages
selected topic assigned,SIGIR 2012: Evaluating aggregated search pages
standard optimal,SIGIR 2012: Evaluating aggregated search pages
standard parameter setting to,SIGIR 2012: Evaluating aggregated search pages
subject descriptor,SIGIR 2012: Evaluating aggregated search pages
united kingdom,SIGIR 2012: Evaluating aggregated search pages
user examination model,SIGIR 2012: Evaluating aggregated search pages
user model for,SIGIR 2012: Evaluating aggregated search pages
user preference assessment agreement,SIGIR 2012: Evaluating aggregated search pages
utility metric,SIGIR 2012: Evaluating aggregated search pages
various highly oriented vertical,SIGIR 2012: Evaluating aggregated search pages
various parameter,SIGIR 2012: Evaluating aggregated search pages
various quality bin,SIGIR 2012: Evaluating aggregated search pages
various user,SIGIR 2012: Evaluating aggregated search pages
vertical selection,SIGIR 2012: Evaluating aggregated search pages
video recipe news book blog an shop disc schol wiki webonly total qrys topic,SIGIR 2012: Evaluating aggregated search pages
work various,SIGIR 2012: Evaluating aggregated search pages
abstract retrieving,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
amazon mturk,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
anja jentzsch,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
barack obama,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
billion triple,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
content negotiation,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
entity list,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
entity search,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
entity search keyword query,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
expansion inverted index,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
experimental setting,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
feedback finally,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
gianluca demartini,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
graph query technique parameter analysis,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
graph traversal,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
hybrid approach,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
hybrid search,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
inex entity,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
jaguar car,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
jimi hendrix,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
linked open data,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
lod cloud,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
mean average,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
natural language,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
new york,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
new york time,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
normalized discounted cumulative gain,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
north yorkshire,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
object property recall,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
object retrieval,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
object retrieval alberto tonon,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
performance keywords,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
pseudo relevance feedback,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
query autoc,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
related entity,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
richard cyganiak,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
scope one,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
scope two,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
scoring once,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
standard er,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
stevie wonder,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
structured inverted index,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
subject descriptor,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
term algorithm,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
trec enterprise,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
trec entity,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
uniform resource identifiers2,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
user query annotation,SIGIR 2012: Combining inverted indices and structured search for ad-hoc object retrieval
abstract online,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
amit singh deepak,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
apple discussion forum,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
bag of post,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
central post similarity,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
chinese restaurant,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
cosine similarity,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
cosine similarity measure,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
discus143 method,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
example thread pattern,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
experiment result,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
first post,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
google news5,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
hierarchical agglomerative clustering,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
jaccard similarity,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
maximum weighted,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
method since,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
post since,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
pseudo cluster selection,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
query annotated total,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
similarity measure,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
srujana merugu,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
subject descriptor,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
system parameter our,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
threadid safari,SIGIR 2012: Retrieving similar discussion forum threads: a structure based approach
abstract a,SIGIR 2012: Summarizing highly structured documents for effective search interaction
amazon mechanical turk,SIGIR 2012: Summarizing highly structured documents for effective search interaction
amazon search,SIGIR 2012: Summarizing highly structured documents for effective search interaction
approach in,SIGIR 2012: Summarizing highly structured documents for effective search interaction
avgidf average,SIGIR 2012: Summarizing highly structured documents for effective search interaction
cossim cosine,SIGIR 2012: Summarizing highly structured documents for effective search interaction
data set,SIGIR 2012: Summarizing highly structured documents for effective search interaction
different summarization approach,SIGIR 2012: Summarizing highly structured documents for effective search interaction
engineering university,SIGIR 2012: Summarizing highly structured documents for effective search interaction
experimental economics,SIGIR 2012: Summarizing highly structured documents for effective search interaction
experimental goal,SIGIR 2012: Summarizing highly structured documents for effective search interaction
facet feature,SIGIR 2012: Summarizing highly structured documents for effective search interaction
facet selection,SIGIR 2012: Summarizing highly structured documents for effective search interaction
framework evaluation,SIGIR 2012: Summarizing highly structured documents for effective search interaction
fvp feature,SIGIR 2012: Summarizing highly structured documents for effective search interaction
imdb search,SIGIR 2012: Summarizing highly structured documents for effective search interaction
interaction lanbo zhang,SIGIR 2012: Summarizing highly structured documents for effective search interaction
inverse document frequency,SIGIR 2012: Summarizing highly structured documents for effective search interaction
james cameron,SIGIR 2012: Summarizing highly structured documents for effective search interaction
length number,SIGIR 2012: Summarizing highly structured documents for effective search interaction
manual facet selection,SIGIR 2012: Summarizing highly structured documents for effective search interaction
marginal relevance,SIGIR 2012: Summarizing highly structured documents for effective search interaction
maximum marginal relevance,SIGIR 2012: Summarizing highly structured documents for effective search interaction
mean average,SIGIR 2012: Summarizing highly structured documents for effective search interaction
mechanical turk,SIGIR 2012: Summarizing highly structured documents for effective search interaction
metric for,SIGIR 2012: Summarizing highly structured documents for effective search interaction
national science foundation,SIGIR 2012: Summarizing highly structured documents for effective search interaction
normalized utility,SIGIR 2012: Summarizing highly structured documents for effective search interaction
numoccrs number,SIGIR 2012: Summarizing highly structured documents for effective search interaction
numvalues number,SIGIR 2012: Summarizing highly structured documents for effective search interaction
pair given,SIGIR 2012: Summarizing highly structured documents for effective search interaction
query feature,SIGIR 2012: Summarizing highly structured documents for effective search interaction
queryspecific facet selection,SIGIR 2012: Summarizing highly structured documents for effective search interaction
retrieval keywords summarization,SIGIR 2012: Summarizing highly structured documents for effective search interaction
santa cruz santa cruz,SIGIR 2012: Summarizing highly structured documents for effective search interaction
sidf sum,SIGIR 2012: Summarizing highly structured documents for effective search interaction
structured document,SIGIR 2012: Summarizing highly structured documents for effective search interaction
subject descriptor,SIGIR 2012: Summarizing highly structured documents for effective search interaction
summarization approach four,SIGIR 2012: Summarizing highly structured documents for effective search interaction
tom cruise,SIGIR 2012: Summarizing highly structured documents for effective search interaction
type id detail query,SIGIR 2012: Summarizing highly structured documents for effective search interaction
value feature,SIGIR 2012: Summarizing highly structured documents for effective search interaction
value v,SIGIR 2012: Summarizing highly structured documents for effective search interaction
yi zhang,SIGIR 2012: Summarizing highly structured documents for effective search interaction
yunfei chen school,SIGIR 2012: Summarizing highly structured documents for effective search interaction
adaptive query,SIGIR 2012: Adaptive query suggestion for difficult queries
baseline we,SIGIR 2012: Adaptive query suggestion for difficult queries
candidate improved,SIGIR 2012: Adaptive query suggestion for difficult queries
conclusion query,SIGIR 2012: Adaptive query suggestion for difficult queries
cross match feature,SIGIR 2012: Adaptive query suggestion for difficult queries
fashion quiz,SIGIR 2012: Adaptive query suggestion for difficult queries
fashion trend,SIGIR 2012: Adaptive query suggestion for difficult queries
fashion website fashion,SIGIR 2012: Adaptive query suggestion for difficult queries
fashion website get,SIGIR 2012: Adaptive query suggestion for difficult queries
fusion adaptive original query,SIGIR 2012: Adaptive query suggestion for difficult queries
general term algorithm,SIGIR 2012: Adaptive query suggestion for difficult queries
high street style tip,SIGIR 2012: Adaptive query suggestion for difficult queries
match cross match similarity estimated,SIGIR 2012: Adaptive query suggestion for difficult queries
match feature,SIGIR 2012: Adaptive query suggestion for difficult queries
measurement keywords difficult,SIGIR 2012: Adaptive query suggestion for difficult queries
microsoft research asia,SIGIR 2012: Adaptive query suggestion for difficult queries
open directory project,SIGIR 2012: Adaptive query suggestion for difficult queries
original query,SIGIR 2012: Adaptive query suggestion for difficult queries
porter stemmer,SIGIR 2012: Adaptive query suggestion for difficult queries
predict difficult,SIGIR 2012: Adaptive query suggestion for difficult queries
rank fusion random,SIGIR 2012: Adaptive query suggestion for difficult queries
rank suggestion,SIGIR 2012: Adaptive query suggestion for difficult queries
ruihua song,SIGIR 2012: Adaptive query suggestion for difficult queries
search figure,SIGIR 2012: Adaptive query suggestion for difficult queries
subject descriptor,SIGIR 2012: Adaptive query suggestion for difficult queries
yu chen,SIGIR 2012: Adaptive query suggestion for difficult queries
adelft university,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
alan hanjalica,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
alexandros karatzoglou,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
alexandros karatzogloub,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
android market,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
bayesian personalized ranking,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
btelefonica research,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
buffer bmk,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
buffer construction,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
career development,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
collaborative filtering,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
fast learning we,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
implicit feedback,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
irrelevant item,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
item selection relevant item,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
linas baltrunasb,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
marie curie intra european fellowship,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
martha larsona,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
matthias bo,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
mean average,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
nuria oliverb,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
relevant item,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
roc curve,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
sampling size,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
subject descriptor,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
telefonica research,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
yue shia,SIGIR 2012: TFMAP: optimizing MAP for top-n context-aware recommendation
analysis we,SIGIR 2012: Increasing temporal diversity with purchase intervals
build model,SIGIR 2012: Increasing temporal diversity with purchase intervals
conversion rate,SIGIR 2012: Increasing temporal diversity with purchase intervals
ddr5 graphic,SIGIR 2012: Increasing temporal diversity with purchase intervals
dell laptop,SIGIR 2012: Increasing temporal diversity with purchase intervals
distinct product,SIGIR 2012: Increasing temporal diversity with purchase intervals
in20 rw,SIGIR 2012: Increasing temporal diversity with purchase intervals
introduction advance,SIGIR 2012: Increasing temporal diversity with purchase intervals
markov chain,SIGIR 2012: Increasing temporal diversity with purchase intervals
metric our,SIGIR 2012: Increasing temporal diversity with purchase intervals
mong li lee,SIGIR 2012: Increasing temporal diversity with purchase intervals
national university,SIGIR 2012: Increasing temporal diversity with purchase intervals
parameter estimation,SIGIR 2012: Increasing temporal diversity with purchase intervals
performance keywords recommender system,SIGIR 2012: Increasing temporal diversity with purchase intervals
phase ii,SIGIR 2012: Increasing temporal diversity with purchase intervals
purchase history,SIGIR 2012: Increasing temporal diversity with purchase intervals
purchase interval cube,SIGIR 2012: Increasing temporal diversity with purchase intervals
purchase interval due,SIGIR 2012: Increasing temporal diversity with purchase intervals
purchase interval matrix,SIGIR 2012: Increasing temporal diversity with purchase intervals
purchase interval permission,SIGIR 2012: Increasing temporal diversity with purchase intervals
qq rw,SIGIR 2012: Increasing temporal diversity with purchase intervals
