cluster-based language model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
clustering algorithm,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
computer science,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
conditional probability,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
data management,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
deep web,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
discriminative model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
distributed information retrieval,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
document allocation,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
document frequency,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
expectation maximization,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
experimental methodology,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
feature vector,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
fusion method,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
gradient descent,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
hybrid model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
information processing,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
information retrieval,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
information search,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
information source,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
information storage,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
information system,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
international conference,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
knowledge management,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
language model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
latent group,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
latent topic model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
latent variable,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
learning algorithm,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
learning method,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
learning model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
lemur toolkit,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
likelihood function,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
linear combination,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
linear regression,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
linear smoothing,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
logistic regression,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
logistic regression model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
loss error,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
maximum likelihood,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
mixture model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
objective function,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
objective gradient,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
optimization function,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
optimization problem,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
posterior distribution,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
posterior probability,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
query model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
query processing,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
query q,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
query statistic,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
query term,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
random variable,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
ranking algorithm,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
ranking sample,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
regression matrix,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
regression method,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
regression model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
relevance according,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
relevance score,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
relevance vector,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
resource selection,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
retrieval algorithm,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
retrieval method,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
retrieval model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
retrieval system,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
search datasets,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
search dzung,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
search engine,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
search environment,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
search system,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
search target,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
sigmoid function,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
source size,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
term frequency,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
term statistic,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
